Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Bull Market (YOTD)	yearofthedragon	bull_market_yotd	Event	Ascended	Event	0	{asc}{asc}{asc}		0	0	0	Fixed	bull market	All players gain 5 Power.	
Buro Godhammer (YOTD)	yearofthedragon	buro_godhammer_yotd	State	Architects of the Flesh	State	1	{arc}		0	0	0	Fixed	buro godhammer	Weapon. Subject Character inflicts +3 damage.	
Cave Network	yearofthedragon	cave_network_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	cave network	If you control no Characters when an attack is declared against Cave Network, you may turn Cave Network to play a Character with a cost of 3 or less at no cost.	
CDCA Scientist	yearofthedragon	cdca_scientist_yotd	Character	Architects of the Flesh	Overzealous Researcher	2		{arc}{tek}	2	0	0	Fixed	cdca scientist overzealous researcher	"When CDCA Scientist is smoked, you may draw up to X cards, then discard up to X cards. X= the number of""CDCA Scientist""cards you control plus the number in your smoked pile."	
CHAR (YOTD)	yearofthedragon	char_yotd	Character	Architects of the Flesh	BuroMil Cyborg	4	{arc}{tek}	{arc}{tek}	6	0	0	Fixed	char buro mil cyborg	CHAR's combat damage is reduced as its Fighting decreases but cannot be reduced or redirected by any other means. CHAR takes no damage from Fire cards.	
City Park	yearofthedragon	city_park_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	city park	Heal City Park at the end of the turn it is revealed. When a Site you control is burned, you may play City Park face up at no cost.	
City Square	yearofthedragon	city_square_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	city square	Unique. Turn to redirect the damage inflicted by a single source on target Site to any Site you control.	
Claw of the Dragon	yearofthedragon	claw_of_the_dragon_yotd	State	Dragons	State	2	{dra}{dra}{dra}		0	0	0	Fixed	claw dragon	Subject Character gains +2 Fighting and Guts. When a Feng Shui Site you control is seized or burned, you may play Claw of the Dragon at no cost and ignoring resource conditions.	
Confucian Stability	yearofthedragon	confucian_stability_yotd	Event	Guiding Hand	Event	1	{han}		0	0	0	Fixed	confucian stability	Play in response to an Event or State :: Cancel and smoke that card.	
Covert Operation (YOTD)	yearofthedragon	covert_operation_yotd	Event	Ascended	Event	0	{asc}		0	0	0	Fixed	covert operation	Look at target opponent's hand. You may force that opponent to discard one card of your choice.	
Curio Shop	yearofthedragon	curio_shop_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	curio shop	Takes no damage from cards that have a cost of 1 that are controlled or played by an opponent.	
Dangerous Experiment (YOTD)	yearofthedragon	dangerous_experiment_yotd	Event	Architects of the Flesh	Event	0	{arc}{arc}{arc}{arc}		0	0	0	Fixed	dangerous experiment	Limited. Toast It. You gain 5 Power, and the opponent to your left may immediately toast a card you control, a card in your smoked pile, or a card in your burned-for-victory pile.	
Dirk Wisely's Gambit	yearofthedragon	dirk_wiselys_gambit_yotd	Event	Dragons	Event	0	{dra}	{dra}{tek}	0	0	0	Fixed	dirk wisely gambit	Limited. Play when you declare an attack with only one attacker against a target controlled by an opponent who controls at least four cards. When your attacker inflicts combat damage on its target during this attack, you gain 2 Power.	
Discerning Fire	yearofthedragon	discerning_fire_yotd	Event	Magic	Event	X	{mag}{mag}		0	0	0	Fixed	discerning fire	Smoke X target cards that share a designator other than Netherworld. X must be greater than one. Power-generating Sites are not legal targets.	
Draco (YOTD)	yearofthedragon	draco_yotd	Character	Ascended	Lodge Enforcer	6	{asc}{asc}{asc}{asc}	{asc}	12	0	0	Fixed	draco lodge enforcer	"Unique. Discard a Lodge Character other than""Draco""in response to an Event that targets a card you control or would smoke a card you control :: Cancel that Event."	
Eunuch Underling (YOTD)	yearofthedragon	eunuch_underling_yotd	Character	Eaters of the Lotus	Sorcerer Bureaucrat	2		{lot}{mag}	2	0	0	Fixed	eunuch underling sorcerer bureaucrat		
Evil Twin (YOTD)	yearofthedragon	evil_twin_yotd	Character	Eaters of the Lotus	Sinister Sibling	3	{lot}	{lot}	0	0	0	Fixed	evil twin sinister sibling	"Uncopyable. When Evil Twin enters play, it copies the printed Fighting, rules text and restrictions of another Character in play. Evil Twin's title becomes""Evil Twin of (Character's title)""and its subtitle becomes""Sinister Sibling of (Character's subtitle)."""	
Explosives (YOTD)	yearofthedragon	explosives_yotd	State	Unaligned	State	1			0	0	0	Fixed	explosive	Play on an unturned Character. Subject's controller may sacrifice Explosives during an attack :: Subject inflicts +5 damage against the next Site it inflicts combat damage on during this attack.	
Family Estate	yearofthedragon	family_estate_yotd	Site	Ascended	Site	2		{asc}	0	1	5	Fixed	family estate	Turn to play a Pledged Character at -1 cost. When a Lodge Character is smoked, inflict 2 damage on Family Estate.	
Festival Circle	yearofthedragon	festival_circle_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	festival circle	Damage may only be removed from Festival Circle when it is seized. If Festival Circle is in your front row, turn and inflict 2 damage on it in response to an Event that targets one or more Characters you control :: Cancel that Event.	
Field of Tentacles	yearofthedragon	field_of_tentacles_yotd	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	8	Fixed	field tentacle netherworld	Turn and maintain to cancel the effects and rules text of target non-Feng Shui Site controlled by an opponent.	
Final Brawl	yearofthedragon	final_brawl_yotd	Event	Dragons	Event	0	{dra}		0	0	0	Fixed	final brawl	Inflict 2 damage on all Characters.	
Floating Restaurant	yearofthedragon	floating_restaurant_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	floating restaurant	When an opponent plays an Event, you may remove 1 damage from any card you control.	
Four Burning Fists	yearofthedragon	four_burning_fists_yotd	Character	Eaters of the Lotus	Demon Martial Artist	3	{lot}{lot}{lot}{mag}	{lot}	5	0	0	Fixed	four burning fist demon martial artist	Unique. You must toast a Feng Shui Site you control when Four Burning Fists enters play, otherwise toast this card. Gains +2 Fighting and Regenerate while any opponent is closer to victory than you.	
Fox Pass (YOTD)	yearofthedragon	fox_pass_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	5	Fixed	fox pass	Unique. Turn to change one attacker's target to any Character or front-row Site you control.	
Friends of the Dragon (YOTD)	yearofthedragon	friends_of_the_dragon_yotd	Character	Dragons	Student Supporters	1		{dra}	1	0	0	Fixed	friend dragon student supporter		
Gambling House	yearofthedragon	gambling_house_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	gambling house	Limited. If any opponent controls at least two cards that share a designator, you may turn this card during your Main Shot to gain 1 Power.	
Gardener	yearofthedragon	gardener_yotd	Character	Guiding Hand	Devoted Follower	1	{han}	{han}{chi}	1	0	0	Fixed	gardener devoted follower	Turn to remove 2 damage from target Feng Shui Site.	
Glimpse of the Abyss	yearofthedragon	glimpse_of_the_abyss_yotd	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}		0	0	0	Fixed	glimpse abyss	Toast It. You gain X Power. X= the number of Feng Shui Sites controlled by target opponent plus the number of cards in his or her burned-for-victory pile. The number of Feng Shui Sites you need for victory is increased by one.	
Golden Candle Society	yearofthedragon	golden_candle_society_yotd	Character	Guiding Hand	Secret Society	1		{han}{chi}	1	0	0	Fixed	golden candle society secret		
Golden Comeback	yearofthedragon	golden_comeback_yotd	Event	Dragons	Event	2	{dra}		0	0	0	Fixed	golden comeback	Choose a Character in your smoked pile :: Return that Character to play.	
Hacker	yearofthedragon	hacker_yotd	Character	Dragons	Gun-Totin' Techie	2		{dra}{tek}	2	0	0	Fixed	hacker gun toting techie	Any time Hacker is in your hand when an opponent plays an Event that steals Power from you or that toasts any card other than itself, you may play Hacker at no cost in response :: Cancel that Event.	
Hands Without Shadow (YOTD)	yearofthedragon	hands_without_shadow_yotd	State	Chi	State	0	{chi}		0	0	0	Fixed	hand without shadow	Schtick. When subject Character is in combat with a Character, you may choose to have subject inflict X-1 combat damage instead of its normal damage. X= damage required to smoke the opposing Character, calculated just prior to inflicting damage, but after all other effects have resolved.	
Helix Chewer	yearofthedragon	helix_chewer_yotd	State	Architects of the Flesh	State	0	{arc}		0	0	0	Fixed	helix chewer	Play on any Character. Reduce the combat damage inflicted by subject by 1. When subject leaves play, Helix Chewer returns to its owner's hand.	
Helix Rethread	yearofthedragon	helix_rethread_yotd	State	Architects of the Flesh	State	0	{arc}		0	0	0	Fixed	helix rethread	Play on a Character controlled by an opponent. When subject is smoked, you gain 1 Power.	
Homo Omega (YOTD)	yearofthedragon	homo_omega_yotd	Character	Architects of the Flesh	Buro Cyborg	6	{arc}{arc}{arc}{arc}{tek}	{arc}{tek}{tek}{tek}	10	0	0	Fixed	homo omega buro cyborg	Unique. Toughness: 2. Once during each Main Shot, you may return a Weapon State on this card to its owner's hand :: Play a Weapon State with a different title on this card at -X cost. X= the cost of the returned State.	
House on the Hill	yearofthedragon	house_on_the_hill_yotd	Site	Dragons	Site	2		{dra}	0	1	5	Fixed	house hill	Characters at this location gain Toughness: 1 while intercepting.	
Inexorable Corruption	yearofthedragon	inexorable_corruption_yotd	State	Eaters of the Lotus	State	0	{lot}		0	0	0	Fixed	inexorable corruption	Play on any Character or Site. Damage on subject cannot be removed. Inflict 1 damage on subject at the start of each of your turns.	
Infernal Temple (YOTD)	yearofthedragon	infernal_temple_yotd	Site	Eaters of the Lotus	Site	2		{lot}	0	1	5	Fixed	infernal temple	Infernal Temple provides one {mag} resource for each Demon Character you control.	
Inner Sanctum	yearofthedragon	inner_sanctum_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	11	Fixed	inner sanctum	If Inner Sanctum is revealed, you may not place another Feng Shui Site at this location.	
Iron and Silk	yearofthedragon	iron_and_silk_yotd	Event	Guiding Hand	Event	0	{han}		0	0	0	Fixed	iron silk	Choose any Character :: Until the end of the turn, that Character takes no combat damage while intercepting.	
Jade Valley	yearofthedragon	jade_valley_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	jade valley	Limited. Unless you are closer to victory than all opponents, Jade Valley generates +1 Power and gains +4 Body if any opponent controls a Feng Shui Site you own or has a Feng Shui Site you own in his or her burned-for-victory pile.	
Jagged Cliffs	yearofthedragon	jagged_cliffs_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	jagged cliff	When Jagged Cliff's Body is reduced to 0, inflict 3 damage on all Characters at its location.	
Jane Q. Public	yearofthedragon	jane_q_public_yotd	Character	Dragons	Girl Next Door	2	{dra}	{dra}	2	0	0	Fixed	jane q public girl next door	When Jane Q. Public is smoked by an interceptor or by an Event played by an opponent, you gain 2 Power.	
Kinoshita House (YOTD)	yearofthedragon	kinoshita_house_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	4	Fixed	kinoshita house	Unique. Turn to unturn target attacker. That attacker ceases attacking.	
Kun Kan	yearofthedragon	kun_kan_yotd	Character	Eaters of the Lotus	Earth Demon	4	{lot}{mag}	{lot}	5	0	0	Fixed	kun kan earth demon	Regenerate. +1 Fighting for each Feng Shui Site in your burned-for-victory pile.	
Kung Fu Student	yearofthedragon	kung_fu_student_yotd	Character	Guiding Hand	Fledgling Shaolin	1		{han}	1	0	0	Fixed	kung fu student fledgling shaolin	+1 Fighting while any non-Unique Feng Shui Site in your front row has a Body of 4 or less.	
Little Jim	yearofthedragon	little_jim_yotd	Character	Dragons	Rebel Abomination	6	{dra}{dra}{tek}	{dra}	10	0	0	Fixed	little jim rebel abomination	Unique. When an opponent plays an Event, heal Little Jim.	
Maverick Cop	yearofthedragon	maverick_cop_yotd	Character	Dragons	Gun-Toting Hero	3	{dra}	{dra}	4	0	0	Fixed	maverick cop gun toting hero	Takes no damage from Hood Characters.	
Mole Network (YOTD)	yearofthedragon	mole_network_yotd	Event	Ascended	Event	0	{asc}		0	0	0	Fixed	mole network	Play during your Main Shot. Target an opponent who has completed at least one turn :: Steal 1 Power from that opponent.	
Nerve Gas	yearofthedragon	nerve_gas_yotd	Event	Architects of the Flesh	Event	1	{arc}		0	0	0	Fixed	nerve gas	Smoke target Character. Does not affect Characters with {mag} or {tek} resource conditions.	
Netherworld Vet	yearofthedragon	netherworld_vet_yotd	Character	Dragons	Portal Crawler	3	{dra}	{dra}	4	0	0	Fixed	netherworld vet portal crawler	+1 Fighting for each Edge controlled by any opponent.	
Neutron Bomb	yearofthedragon	neutron_bomb_yotd	Event	Architects of the Flesh	Event	3	{arc}{arc}{tek}		0	0	0	Fixed	neutron bomb	Smoke all Characters.	
Nine Dragon Temple	yearofthedragon	nine_dragon_temple_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	nine dragon temple	When an opponent reduces Nine Dragon Temple's Body to 0, you gain 3 Power if that opponent is now closer to victory than you.	
Operation Killdeer	yearofthedragon	operation_killdeer_yotd	Event	Ascended	Event	0	{asc}		0	0	0	Fixed	operation killdeer	Until the end of the turn, target Character inflicts no damage.	
Paper Trail	yearofthedragon	paper_trail_yotd	Edge	Ascended	Edge	2	{asc}{asc}{asc}		0	0	0	Fixed	paper trail	"When an opponent discards a card, you gain 1 Power. You cannot gain more than 2 Power per turn from each""Paper Trail.""When this card leaves play, all opponents gain 1 Power."	
Perpetual Motion Machine	yearofthedragon	perpetual_motion_machine_yotd	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	7	Fixed	perpetual motion machine netherworld	You may discard an additional card of your choice whenever you discard.	
Plasma Trooper	yearofthedragon	plasma_trooper_yotd	Character	Architects of the Flesh	BuroMil Cyborg	3		{arc}{tek}	3	0	0	Fixed	plasma trooper buro mil cyborg	When Plasma Trooper turns to attack, it gains +X Fighting until the end of the attack. X= the number of Characters controlled by the controller of the target of its attack.	
Pocket Demon (YOTD)	yearofthedragon	pocket_demon_yotd	Event	Magic	Event	0	{mag}		0	0	0	Fixed	pocket demon	Limited. Play at the start of your turn. No other card you control or play generates Power during your Establishing Shot this turn. Pocket Demon generates Power equal to the number of Power-generating Sites controlled by target opponent, plus the number of cards in his or her burned-for-victory pile, minus the number of cards in your burned-for-victory pile.	
Prototype X	yearofthedragon	prototype_x_yotd	Character	Architects of the Flesh	Abomination	4	{arc}{arc}{arc}	{arc}	8	0	0	Fixed	prototype x abomination	Unique. -1 Fighting for each {chi} Character in play.	
PubOrd Officer	yearofthedragon	pubord_officer_yotd	Character	Architects of the Flesh	Security Cop	1		{arc}	1	0	0	Fixed	pub ord officer security cop		
Pump-Action Shotgun (YOTD)	yearofthedragon	pumpaction_shotgun_yotd	State	Unaligned	State	1			0	0	0	Fixed	pump action shot gun	Weapon. When a Unique Character you control is smoked by an opponent, unturn this card. Turn this card :: subject Character inflicts +3 damage until the end of the turn.	
Rat Fink	yearofthedragon	rat_fink_yotd	Character	Ascended	Lodge Infiltrator	2	{asc}	{asc}	2	0	0	Fixed	rat fink lodge infiltrator	Stealth. When Rat Fink bypasses an interceptor using Stealth, you may look at the hand of that interceptor's controller and you may force that opponent to discard a card of your choice.	
Red Monk (YOTD)	yearofthedragon	red_monk_yotd	Character	Guiding Hand	Martial Artist	3	{han}	{han}{chi}	4	0	0	Fixed	red monk martial artist	When an opponent plays an Event that targets a card you control, Red Monk gains Superleap until he leaves play.	
Redeemed Gunman	yearofthedragon	redeemed_gunman_yotd	Character	Dragons	Reforming Hood	1		{dra}	1	0	0	Fixed	redeemed gun man reforming hood	Cannot intercept. When Redeemed Gunman turns to attack a turned Site, he gains +2 Fighting until the end of the turn.	
Righteous Fist	yearofthedragon	righteous_fist_yotd	Character	Guiding Hand	Martial Artist	2		{han}	2	0	0	Fixed	righteous fist martial artist	Sacrifice Righteous Fist to smoke a State on a card you own.	
Rigorous Discipline (YOTD)	yearofthedragon	rigorous_discipline_yotd	Event	Guiding Hand	Event	0	{han}		0	0	0	Fixed	rigorous discipline	Copy the printed rules text from any Character to target Character until the end of the turn.	
Robot Arm	yearofthedragon	robot_arm_yotd	State	High Tech	State	2	{tek}		0	0	0	Fixed	robot arm	Subject Character gains +2 Fighting. Subject gains Toughness: 1 against damage inflicted by Characters.	
Sacred Heart Hospital	yearofthedragon	sacred_heart_hospital_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	sacred heart hospital	Unique. Turn to heal target Character.	
Sam Mallory	yearofthedragon	sam_mallory_yotd	Character	Ascended	Lodge Killer	5	{asc}{asc}{asc}	{asc}	7	0	0	Fixed	sam mallory lodge killer	Unique. Toughness: X. X= the number of damage counters on Sam Mallory	
Satellite Intelligence	yearofthedragon	satellite_intelligence_yotd	Event	High Tech	Event	1	{tek}		0	0	0	Fixed	satellite intelligence	Swap the positions of two target Sites controlled by the same controller. This may change which Site is targeted by an attack.	
Secret Headquarters	yearofthedragon	secret_headquarters_yotd	Site	Unaligned	Site	3			0	2	10	Fixed	secret headquarter	Limited. When Secret Headquarters is smoked, inflict 2 damage on all Sites you control.	
Shadowfist	yearofthedragon	shadowfist_yotd	State	Chi	State	3	{chi}{chi}{chi}{chi}		0	0	0	Fixed	shadowfist	Play on any Character. Subject takes no combat damage.	
Shadowy Mentor (YOTD)	yearofthedragon	shadowy_mentor_yotd	State	Ascended	State	3	{asc}		0	0	0	Fixed	shadowy mentor	Play on any Character. You take control of subject Character. Subject gains the designator Pledged.	
Shan Tsu	yearofthedragon	shan_tsu_yotd	Character	Guiding Hand	Shaolin Master	5	{han}{han}	{han}{chi}	7	0	0	Fixed	shan tsu shaolin master	Unique. Takes no damage from interceptors that have fewer than two resource conditions.	
Shaolin Sanctuary	yearofthedragon	shaolin_sanctuary_yotd	Site	Guiding Hand	Site	2		{han}	0	1	5	Fixed	shaolin sanctuary	Shaolin Sanctuary provides one {chi} resource for each Shaolin Character and each Monk Character you control.	
Shattering Fire	yearofthedragon	shattering_fire_yotd	Event	Magic	Event	1	{mag}		0	0	0	Fixed	shattering fire	Inflict X damage on target Character. X= the number of {mag} resources in your pool.	
Shield of Pure Soul	yearofthedragon	shield_of_pure_soul_yotd	Edge	Guiding Hand	Edge	0	{han}{chi}		0	0	0	Fixed	shield pure soul	Limited. When a Site you control is seized or burned, you gain 1 Power and may search your deck and select a card. Reshuffle your deck, then place the selected card on top of your deck.	
Sinister Priest	yearofthedragon	sinister_priest_yotd	Character	Eaters of the Lotus	Macabre Sorcerer	1		{lot}{mag}	1	0	0	Fixed	sinister priest macabre sorcerer		
Sting of the Scorpion (YOTD)	yearofthedragon	sting_of_the_scorpion_yotd	Character	Ascended	Lodge Assassin	3	{asc}{asc}	{asc}	4	0	0	Fixed	sting scorpion lodge assassin	Assassinate. Has Ambush against the target of her attack until the end of the turn she enters play.	
Stone Garden	yearofthedragon	stone_garden_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	stone garden	Turn to remove 1 damage from target Site.	
Student of the Bear	yearofthedragon	student_of_the_bear_yotd	Character	Ascended	Pledged Martial Artist	1		{asc}	1	0	0	Fixed	student bear pledged martial artist		
Student of the Shark	yearofthedragon	student_of_the_shark_yotd	Character	Ascended	Pledged Hood	2		{asc}	2	0	0	Fixed	student shark pledged hood	Inflicts +1 damage on damaged Characters and damaged Sites.	
Suicide Mission	yearofthedragon	suicide_mission_yotd	Event	Ascended	Event	1	{asc}{asc}		0	0	0	Fixed	suicide mission	Target a card :: Smoke that card. That card's controller may immediately smoke any card you control.	
Surprise, Surprise	yearofthedragon	surprise_surprise_yotd	Event	Dragons	Event	0	{dra}		0	0	0	Fixed	surprise	Play any time during an attack that targets a card you control. Immediately cut your deck and draw a card. You may put that card in your hand, discard it, or play it at no cost and regardless of card type. At the end of the turn, toast that card if it is in play.	
Test Subjects	yearofthedragon	test_subjects_yotd	Character	Architects of the Flesh	Abominations	1		{arc}{tek}	1	0	0	Fixed	test subject abomination		
The Hungry (YOTD)	yearofthedragon	the_hungry_yotd	Edge	Magic	Edge	1	{mag}{mag}		0	0	0	Fixed	hungry	When you burn a Site for victory, you gain X Power. X= the number of players in the game, to a maximum of 3. When The Hungry leaves play, inflict 2 damage on all Sites you control and all Characters you control.	
The Iron Monkey	yearofthedragon	the_iron_monkey_yotd	Character	Guiding Hand	Masked Hero	4	{han}{han}	{han}{chi}	5	0	0	Fixed	iron monkey masked hero	Unique. Superleap. When The Iron Monkey inflicts combat damage on the target of his attack, steal half the Power (round down) of his target's controller and give that Power to any player you choose.	
The Pledged	yearofthedragon	the_pledged_yotd	Character	Ascended	Loyal Initiates	1		{asc}	1	0	0	Fixed	pledged loyal initiate		
Thing with a 1000 Tongues (YOTD)	yearofthedragon	thing_with_a_1000_tongues_yotd	Character	Eaters of the Lotus	Disgusting Demon	6	{lot}{mag}{mag}{mag}	{lot}	9	0	0	Fixed	thing 1000 tongue disgusting demon	Unique. Sacrifice a Character :: Thing with a 1000 Tongues gains Toughness: 3 until the end of the turn.	
Ting Ting (YOTD)	yearofthedragon	ting_ting_yotd	Character	Dragons	Martial Artist	4	{dra}{dra}	{dra}{dra}{chi}	6	0	0	Fixed	ting martial artist	Unique. Independent. +2 Fighting for each opponent who controls more Power-generating Sites than you. Opponents cannot take control of Ting Ting.	
Tortured Memories	yearofthedragon	tortured_memories_yotd	Event	Eaters of the Lotus	Event	2	{lot}		0	0	0	Fixed	tortured memory	Take control of target Character until the end of the turn.	
Tricia Kwok	yearofthedragon	tricia_kwok_yotd	Character	Dragons	Undercover Cop	4	{dra}{dra}	{dra}	6	0	0	Fixed	tricia kwok undercover cop	Unique. Gains Toughness: 1 and +1 Fighting while she is the subject of any Weapon State.	
Turtle Beach	yearofthedragon	turtle_beach_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	turtle beach	Unique. Turn to redirect the damage inflicted by a single source on target Character to Turtle Beach.	
Vassals of the Lotus	yearofthedragon	vassals_of_the_lotus_yotd	Character	Eaters of the Lotus	Ancient Hoods	1		{lot}	1	0	0	Fixed	vassal lotus ancient hood		
Violet Meditation (YOTD)	yearofthedragon	violet_meditation_yotd	Event	Chi	Event	0	{chi}		0	0	0	Fixed	violet meditation	Limited. Play at the start of your turn. No other card you control or play generates Power during your Establishing Shot. Violet Meditation generates Power equal to the number of Edges and Power-generating Sites controlled by target opponent, minus the number of cards in your burned-for-victory pile.	
Vivisector	yearofthedragon	vivisector_yotd	Character	Architects of the Flesh	Abomination Scientist	2	{arc}	{arc}{tek}	1	0	0	Fixed	vivisector abomination scientist	Turn Vivisector and choose a Character other than itself :: Sacrifice that Character. If the sacrifice is successful, you gain Power equal to that Character's cost.	
Walking Corpses	yearofthedragon	walking_corpses_yotd	Character	Eaters of the Lotus	Undead Servitors	2	{lot}	{lot}	4	0	0	Fixed	walking corpse undead servitor	Cannot turn to change location. Damage cannot be removed from Walking Corpses.	
White Disciple	yearofthedragon	white_disciple_yotd	Character	Eaters of the Lotus	Eunuch Sorcerer	2	{lot}	{lot}{mag}	2	0	0	Fixed	white disciple eunuch sorcerer	Turn and inflict 1 damage on White Disciple :: Inflict 2 damage on any target.	
Wong Fei Hong (YOTD)	yearofthedragon	wong_fei_hong_yotd	Character	Guiding Hand	Kung Fu Master	6	{han}{han}{han}{han}	{han}{chi}	11	0	0	Fixed	wong fei hong kung fu master	Unique. Once during each of your Main Shots, you may play a {chi} State on this card at -3 cost. Toast a {chi} State on this card to cancel the effect generated by the turning of a Feng Shui Site.	
