Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Buddhist Monk	combatinkowloon	buddhist_monk_cik_400	Character	Guiding Hand	Martial Artist	2		{han}{chi}	2	0	0	Fixed	buddhist monk martial artist	+X Fighting. X = the number of Power-generating Sites you control minus two. X cannot be less than 0.	
Bull Market (CIK)	combatinkowloon	bull_market_cik_400	Event	Ascended	Event	0	{asc}{asc}{asc}		0	0	0	Fixed	bull market	Limited. All players gains 5 Power.	
Butterfly Swords	combatinkowloon	butterfly_swords_cik_400	State	Chi	State	1	{chi}		0	0	0	Fixed	butterfly sword	Weapon. Play on a Character. Subject gains +3 combat damage.	
Car Wash	combatinkowloon	car_wash_cik_400	Site	Unaligned	Site	2			0	1	7	Fixed	car wash	Turn and choose a Character that is the subject of a Vehicle State :: Heal that Character.	
Cataract Gorge (CIK)	combatinkowloon	cataract_gorge_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	cataract gorge	Unique. Turn and target a Character :: Target gains Independent until the end of the turn.	
CB Radio	combatinkowloon	cb_radio_cik_400	State	Dragons	State	0	{dra}{dra}		0	0	0	Fixed	cb radio	Schtick. Play on a Character. All Characters you control gain Tactics. Once per turn, you may unturn subject when it uses Tactics.	
Chinese Connection	combatinkowloon	chinese_connection_cik_400	Edge	Guiding Hand	Edge	0	{han}{han}		0	0	0	Fixed	chinese connection	Once per turn you may give an opponent 1 Power :: Heal target card.	
Chop Shop (CIK)	combatinkowloon	chop_shop_cik_400	Site	Unaligned	Hood Site	2			0	1	7	Fixed	chop shop hood	Turn and sacrifice a Vehicle :: Gain Power equal to the Vehicle's cost.	
City Center	combatinkowloon	city_center_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	9	Fixed	city center	Immediately place a counter on this card when it is revealed. Remove the counter and target an attacking Character :: Target unturns and ceases attacking.	
City Park	combatinkowloon	city_park_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	city park	Heal City Park at the end of the turn it is revealed. When a Site you control is burned, you may play City Park face up at no cost if you have not played a Site this turn.	
Confucian Stability	combatinkowloon	confucian_stability_cik_400	Event	Guiding Hand	Event	1	{han}{han}		0	0	0	Fixed	confucian stability	Play in response to an Event or State :: Cancel and smoke that card.	
Cries in the Night	combatinkowloon	cries_in_the_night_cik_400	Event	Eaters of the Lotus	Event	0	{lot}{lot}		0	0	0	Fixed	cry night	"Target a Character you control :: Until the end of the turn, target gains Assassinate and you gain 1 Power when target smokes a Character by inflicting combat damage. You cannot gain more than 2 Power per """"Cries in the Night""""."	
Desolate Ridge	combatinkowloon	desolate_ridge_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	desolate ridge	Limited. Turn in response to an Event and target a Site or Character controlled by the player who played that Event :: Inflict 2 non-combat damage on target.	
Diamond Beach	combatinkowloon	diamond_beach_cik_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	5	Fixed	diamond beach netherworld	Toughness: 2	
Die!!!	combatinkowloon	die_cik_400	Event	Eaters of the Lotus	Event	0	{lot}{lot}{lot}		0	0	0	Fixed	die	Turn X {lot} Characters you control and choose any number of opponents' Characters whose total cost is less than X+2 :: Smoke the chosen Characters. (X may be zero.)	
Dirk Wisely's Gambit	combatinkowloon	dirk_wisely's_gambit_cik_400	Event	Dragons	Event	0	{dra}	{dra}{tek}	0	0	0	Fixed	dirk wisely gambit	Limited. Play when you declare an attack with only one attacker against a target controlled by an opponent who controls at least four cards. If your attacker inflicts combat damage on its target during this attack, gain 2 Power.	
Discerning Fire	combatinkowloon	discerning_fire_cik_400	Event	Magic	Event	X	{mag}{mag}		0	0	0	Fixed	discerning fire	Target X cards that share a designator other than Netherworld and are not Power-generating Sites :: Smoke all targets. X must be greater than one.	
Dockyard	combatinkowloon	dockyard_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	dockyard	When this card is revealed :: You may search your deck for a non-Unique Foundation Character, show it to your opponents and add it to your hand.	
Dr. Amanda Snow	combatinkowloon	dr._amanda_snow_cik_400	Character	Dragons	Treasure Hunter	4	{dra}{dra}{dra}	{dra}	6	0	0	Fixed	dr amanda snow treasure hunter	Unique. Guts. Not affected by effects generated by opponents' Sites, and takes no damage from them. Once per turn, you may play a State on her from any player's smoked pile at normal cost, ignoring resource conditions.	
Dragon Graveyard	combatinkowloon	dragon_graveyard_cik_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	8	Fixed	dragon graveyard netherworld	If this card is in your hand when an opponent's effect attempts to look at your hand or force you to discard, discard this card :: Cancel that effect and gain 2 Power. When 3 or more combat damage is inflicted on this card, gain 1 Power.	
Eater of Fortune	combatinkowloon	eater_of_fortune_cik_400	Character	Eaters of the Lotus	Hungry Demon	2	{lot}{mag}	{lot}	2	0	0	Fixed	eater fortune hungry demon	+1 Fighting for each Edge controlled by an opponent. When Eater of Fortune enters play, you may target an Edge :: Smoke that Edge.	
Everything Falls Apart	combatinkowloon	everything_falls_apart_cik_400	Edge	Ascended	Edge	0	{asc}{asc}{asc}		0	0	0	Fixed	everything fall apart	Limited. When any player declares one or more attackers, he or she gains 1 Power. No player may gain more than 2 Power this way per turn.	
Feeding the Hungry	combatinkowloon	feeding_the_hungry_cik_400	Event	Eaters of the Lotus	Undead Event	0	{lot}{lot}		0	0	0	Fixed	feeding hungry undead	Sacrifice a Character and target another Character :: Target gains +X Fighting until the end of the turn. X = the printed Fighting of the sacrificed Character.	
Final Brawl (CIK)	combatinkowloon	final_brawl_cik_400	Event	Dragons	Event	0	{dra}{dra}		0	0	0	Fixed	final brawl	Inflict 2 non-combat damage on all Characters.	
Fireworks Factory	combatinkowloon	fireworks_factory_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	fireworks factory	When an opponent reduces Fireworks Factory's Body to 0, you may smoke a Character that opponent controls if he or she is now closer to victory than you.	
Forgotten Shrine	combatinkowloon	forgotten_shrine_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	forgotten shrine	Turn and maintain and target an opponent's Site :: That Site takes two damage when it is turned.	
Forgotten Temple	combatinkowloon	forgotten_temple_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	forgotten temple	Limited. Turn at the end of any opponent's turn in which at least one card you own was smoked :: Gain 1 Power.	
Fox on the Run	combatinkowloon	fox_on_the_run_cik_400	Event	Ascended	Event	0	{asc}{asc}		0	0	0	Fixed	fox run	Play after an unsuccessful attack :: The attack is considered to be a success, and you may unturn one Character that was an attacker in that attack.	
Gambling House (CIK)	combatinkowloon	gambling_house_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	6	Fixed	gambling house	Limited. If any opponent controls at least two cards that share a designator, turn during your Main Shot :: Gain 1 Power.	
General Red	combatinkowloon	general_red_cik_400	Character	Jammers	Unstable Soldier	5	{jam}{jam}{jam}{jam}	{jam}	7	0	0	Promo	general red unstable soldier	Unique. Toughness: 1. All other Characters you control gain Independent. General Red gains +1 Fighting until he leaves play when an opponent plays or reveals a Unique card.	
Grease Monkey	combatinkowloon	grease_monkey_cik_400	Character	Dragons	Gutsy Mechanic	1	{dra}	{dra}	1	0	0	Fixed	grease monkey gutsy mechanic	Turn :: Play a Vehicle State at -1 cost. Turn and choose a Character that is the subject of a Vehicle State :: Heal that Character.	
Grey Mountain (CIK)	combatinkowloon	grey_mountain_cik_400	Character	Ascended	Transformed Elephant Chieftain	4	{asc}{asc}{asc}	{asc}	4	0	0	Fixed	grey mountain transformed elephant chieftain	Unique. Toughness: 2. Mobility while a Transformed or Lodge card is the target of an attack. +1 Fighting for each Transformed and Lodge card in play.	
Healing Earth (CIK)	combatinkowloon	healing_earth_cik_400	Event	Chi	Event	0	{chi}		0	0	0	Fixed	healing earth	Heal up to X damage from cards you control. X = the number of {chi} resources in your pool.	
Heat of Battle (CIK)	combatinkowloon	heat_of_battle_cik_400	Event	Guiding Hand	Event	0	{han}		0	0	0	Fixed	heat battle	"Play during an attack on a card you control by an opponent who controls more Power-generating Sites than you. Target an attacking Character :: Gain Power equal to the printed cost of target. You can play only one """"Heat of Battle"""" each attack."	
Hover Tank (CIK)	combatinkowloon	hover_tank_cik_400	State	High Tech	State	3	{tek}{tek}		0	0	0	Fixed	hover tank	Vehicle. Play on a Character. Subject gains +4 Fighting, Mobility and Tactics. When subject turns to attack, target a Character :: Target cannot intercept subject during this attack.	
Humble Dojo	combatinkowloon	humble_dojo_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	humble dojo	Cannot be burned. Cards controlled by this card's owner gain +3 combat damage while in combat with it. Turn and target a Character at this location :: Target gains +1 combat damage until the end of the turn.	
Hungry Ghosts	combatinkowloon	hungry_ghosts_cik_400	Character	Eaters of the Lotus	Malicious Spirits	2		{lot}{mag}	2	0	0	Fixed	hungry ghost malicious spirit	Turn and target a Character :: Inflict 1 non-combat damage on target.	
Imp	combatinkowloon	imp_cik_400	Character	Eaters of the Lotus	Demon Minion	1		{lot}{mag}	1	0	0	Fixed	imp demon minion		
Imperial Champion	combatinkowloon	imperial_champion_cik_400	State	Eaters of the Lotus	Demon State	X	{lot}{lot}{lot}		0	0	0	Fixed	imperial champion demon	Unique. Play on a Character. Subject's printed Fighting is equal to the number of {lot} resources in your pool. X = 4 minus the subject's printed cost.	
Inauspicious Return (CIK)	combatinkowloon	inauspicious_return_cik_400	Event	Eaters of the Lotus	Event	1	{lot}		0	0	0	Fixed	inauspicious return	Limited. Toast It. Play up to three 1-cost non-Unique Characters that provide resources from your smoked pile at no cost. These Characters cannot be sacrificed, and gain the designator Undead.	
Inspector Will Zhurong	combatinkowloon	inspector_will_zhurong_cik_400	Character	Dragons	Dedicated Cop	5	{dra}{dra}{dra}	{dra}	8	0	0	Fixed	inspector will zhurong dedicated cop	Unique. Independent. Guts. When you play this card from your hand, you may search your deck or smoked pile for a Gun or Vehicle State. Reveal it, and place it in your hand. Reshuffle your deck afterward.	
Iron and Silk (CIK)	combatinkowloon	iron_and_silk_cik_400	Event	Guiding Hand	Event	0	{han}		0	0	0	Fixed	iron silk	Choose any Character :: Until the end of the turn, combat damage inflicted on that Character while it is intercepting is reduced to 0.	
Jade Dragon Monk	combatinkowloon	jade_dragon_monk_cik_400	Character	Guiding Hand	Mysterious Martial Artist	3	{han}{han}	{han}{chi}	3	0	0	Fixed	jade dragon monk mysterious martial artist	Superleap. Once per turn while this card is attacking, you may choose an Edge or State :: Cancel that card until the end of the attack.	
Junkyard Boys	combatinkowloon	junkyard_boys_cik_400	Character	Dragons	Netherworld Students	1		{dra}{tek}	1	0	0	Fixed	junkyard boy netherworld student		
Killing Rain (CIK)	combatinkowloon	killing_rain_cik_400	Event	Magic	Event	1	{mag}		0	0	0	Fixed	killing rain	Inflict 2 non-combat damage on all Sites.	
Kung Fu Master	combatinkowloon	kung_fu_master_cik_400	Character	Guiding Hand	Heroic Warrior	4	{han}{han}	{han}{chi}	6	0	0	Fixed	kung fu master heroic warrior	You may play this card during any Main Shot, including during an attack. You may play this card at -X cost. If you do so, each opponent immediately gains X Power. X may not be greater than 2. Superleap while any opponent is closer to victory than you.	
Life in the Fast Lane (CIK)	combatinkowloon	life_in_the_fast_lane_cik_400	Event	Dragons	Event	1	{dra}		0	0	0	Fixed	life fast lane	Play when a Vehicle leaves play :: Inflict 3 non-combat damage on all Characters and Sites at the Vehicle's last location.	
Lightning Patrol	combatinkowloon	lightning_patrol_cik_400	Edge	Dragons	Edge	1	{dra}{dra}{dra}		0	0	0	Fixed	lightning patrol	Limited. Turn and target a non-attacking Character that is the subject of a Vehicle :: Unturn target.	
Long Black Hearse	combatinkowloon	long_black_hearse_cik_400	State	Eaters of the Lotus	Macabre State	2	{lot}{mag}		0	0	0	Fixed	long black hearse macabre	Vehicle. Play on a Character. This card does not unturn during your Establishing Shot. Subject gains +2 Fighting and Mobility. Once per turn, when a Character is smoked at this location, you may unturn this card. Turn during any Main Shot :: Play a Demon, Ghost or Undead card at -1 cost.	
Long Shadows	combatinkowloon	long_shadows_cik_400	Character	Eaters of the Lotus	Blood-Sucking Assassin	4	{lot}{lot}{mag}	{lot}{mag}	5	0	0	Fixed	long shadow blood sucking assassin	Unique. +1 Fighting for each Undead Character you control. When this card smokes a Character by inflicting combat damage, return that Character to play under your control and give it the designator Undead. Healing effects only remove half the normal number of damage counters from Undead cards you control (round down).	
Mantis Fighter	combatinkowloon	mantis_fighter_cik_400	Character	Ascended	Transformed Martial Artist	1		{asc}{chi}	1	0	0	Fixed	mantis fighter transformed martial artist		
Manufactured Island	combatinkowloon	manufactured_island_cik_400	Site	Feng Shui Site	Artificial Feng Shui Site	0	{tek}	{tek}	0	1	10	Fixed	manufactured island artificial	"Once per turn, you may play a """"Manufactured Island"""" whenever you could play a Site, even if you have already played a Site this turn. You may play this card from your smoked pile at -1 cost if all opponents are closer to victory than you. (This card is played face up.)"	
Masked Man	combatinkowloon	masked_man_cik_400	Character	Unaligned	Mysterious Stranger	2			2	0	0	Promo	masked man mysterious stranger	Limited. Toast It. When this card enters play, choose a resource :: You gain that resource until the end of the turn this card leaves play. Sacrifice this card during any Main Shot :: Play a Unique Character at -2 cost, and immediately turn it if this card was turned when it was sacrificed.	
Master Hao	combatinkowloon	master_hao_cik_400	Character	Guiding Hand	Superior Martial Artist	4	{han}{han}{han}{han}	{han}{chi}	6	0	0	Fixed	master hao superior martial artist	Unique. Once per turn while Master Hao is attacking, you may choose a Character :: All damage inflicted on Master Hao by that Character is reduced to 0 until the end of the turn.	
Master Mechanic (CIK)	combatinkowloon	master_mechanic_cik_400	Character	Dragons	Renegade Techie	3	{dra}{dra}	{dra}{tek}	4	0	0	Fixed	master mechanic renegade techie	During any Main Shot, turn and choose a Vehicle State in your smoked pile and target a Character you control that is a legal subject for the State :: Play the chosen State on target at -1 cost.	
Maverick Trucker (CIK)	combatinkowloon	maverick_trucker_cik_400	Character	Dragons	Blue-Collar Hero	3	{dra}{dra}	{dra}	3	0	0	Fixed	maverick trucker blue collar hero	Guts. Toughness: 1. You may play Vehicle States on Maverick Trucker at -1 cost.	
Maze of Stairs (CIK)	combatinkowloon	maze_of_stairs_cik_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	5	Fixed	maze of stairs netherworld	If only one Character enters combat with Maze of Stairs, reduce that Character's combat damage to 0.	
Medicinal Flower Garden	combatinkowloon	medicinal_flower_garden_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	medicinal flower garden	Gain 1 Power when this Site is revealed by an opponent. Turn :: Reduce to 0 all non-combat damage that would be dealt from a single source controlled by an opponent to a single Character or Site you control.	
Mirrored Lake (CIK)	combatinkowloon	mirrored_lake_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	mirrored lake	When non-combat damage is inflicted on a card, turn and target a card controlled by the player whose card inflicted the damage :: Inflict an equal amount of damage on target.	
Mobius Gardens (CIK)	combatinkowloon	mobius_gardens_cik_400	Site	Feng Shui Site	Netherworld Feng Shui Site	0			0	1	7	Fixed	mobius garden netherworld	When one or more opponents generate or gain Power from an Event played by an opponent, you gain 1 Power.	
Moonlight Raid (CIK)	combatinkowloon	moonlight_raid_cik_400	Event	Ascended	Event	0	{asc}{asc}		0	0	0	Fixed	moonlight raid	Target a Character you control :: Until the end of the turn, target gains Stealth and you gain 1 Power when target inflicts combat damage on the target of its attack.	
Murder of Crows	combatinkowloon	murder_of_crows_cik_400	Character	Ascended	Transformed Killers	3	{asc}{asc}	{asc}	4	0	0	Fixed	murder crow transformed killer	Tactics. Opponents' characters gain -1 combat damage while this card is attacking.	
Muscle Car (CIK)	combatinkowloon	muscle_car_cik_400	State	Dragons	Homemade Tank State	2	{dra}		0	0	0	Fixed	muscle car homemade tank	Vehicle. Play on a Character. Subject gains +3 Fighting and Guts.	
Never Found the Body	combatinkowloon	never_found_the_body_cik_400	Event	Dragons	Event	0	{dra}	{dra}	0	0	0	Fixed	never found body	Play when a Character you own is smoked or toasted by an opponent :: Shuffle that Character into your deck instead of smoking or toasting it and gain one Power.	
Never Surrender	combatinkowloon	never_surrender_cik_400	Event	Dragons	Event	0	{dra}{dra}		0	0	0	Fixed	never surrender	Limited. Play when an opponent burns a Site you control :: Put this card into your burned-for-victory pile. Gain 3 Power if that opponent is now as close or closer to victory than you.	
Night Moves (CIK)	combatinkowloon	night_moves_cik_400	Edge	Ascended	Edge	1	{asc}{asc}{asc}		0	0	0	Fixed	night move	Limited. Characters intercepting your Characters gain -1 combat damage until the end of the attack. All opponents gain 2 Power when this card leaves play.	
Nine Dragon Temple (CIK)	combatinkowloon	nine_dragon_temple_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	nine dragon temple	When an opponent reduces Nine Dragon Temple's Body to 0, gain 3 Power if that opponent is now closer to victory than you.	
Operation Killdeer (CIK)	combatinkowloon	operation_killdeer_cik_400	Event	Ascended	Event	0	{asc}{asc}		0	0	0	Fixed	operation killdeer	Limited. Target a Character :: All damage inflicted by target Character is reduced to 0 until the end of the turn.	
Plain White Panel Van	combatinkowloon	plain_white_panel_van_cik_400	State	Unaligned	State	1			0	0	0	Fixed	plain white panel van	Vehicle. Play on a Character. Subject gains +2 combat damage and Mobility. Turn or pay 1 Power :: Place this card on another legal subject at this location.	
Po Toi Islands	combatinkowloon	po_toi_islands_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	po toi island	Turn :: Place one card from your hand on the bottom of your deck. Turn when an opponent's effect would cause you to discard or toast cards from your hand, deck or smoked pile :: Cancel the effect and you may draw an equal number of cards instead.	
Pocket Demon (CIK)	combatinkowloon	pocket_demon_cik_400	Event	Magic	Event	0	{mag}		0	0	0	Fixed	pocket demon	Play at the start of your turn and target an opponent :: Generate X Power. X = the number of Power-generating Sites controlled by the target plus the number of cards in their burned-for-victory pile, minus the number of cards in your burned-for-victory pile. No other card you control or play generates Power during this Establishing Shot.	
Precious Lotus Monastery	combatinkowloon	precious_lotus_monastery_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	precious lotus monastery	Unique. If you have at least three resources from the same faction in your resource pool, turn and maintain and target a Character :: Target gains +1 Fighting, or +2 if it is Unique.	
Prince of the Ice Pagoda	combatinkowloon	prince_of_the_ice_pagoda_cik_400	Character	Unaligned	Silver Warrior	4	{mon}{mon}	{mon}{dra}	6	0	0	Promo	prince ice pagoda silver warrior	Unique. Independent. Toughness: 1. You may heal up to two damage from any card when an Ice card or d Event is played. You may substitute d for f when playing this card.	
Princess Chu	combatinkowloon	princess_chu_cik_400	Character	Unaligned	Leader of Lost Souls	6			6	0	0	Promo	princess chu leader lost soul	Unique. Mobility. This card’s cost is reduced by the number of different Factions in your resource pool, to a minimum of 2. This cost reduction cannot be combined with any other cost reductions.	
Proving Ground (CIK)	combatinkowloon	proving_ground_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	0	6	Fixed	proving ground	When Proving Ground is revealed, immediately turn it for no effect. If Proving Ground is face-up, turn :: Play a Character at -2 cost.	
Puzzle Garden (CIK)	combatinkowloon	puzzle_garden_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	puzzle garden	Reduce to 3 any damage inflicted on Puzzle Garden by a single Character.	
Rainforest Ruins (CIK)	combatinkowloon	rainforest_ruins_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	rainforest ruin	+2 Body for each opponent who is closer to victory than you. You may play this card face up at -1 cost for each opponent who is closer to victory than you.	
Rat Clan Spies	combatinkowloon	rat_clan_spies_cik_400	Character	Ascended	Transformed Martial Artist	1		{asc}	1	0	0	Fixed	rat clan spy transformed martial artist	Stealth while you control a Lodge or Transformed Character that requires resources.	
Ravenous Devourer	combatinkowloon	ravenous_devourer_cik_400	Character	Eaters of the Lotus	Hungry Demon	2	{lot}{lot}	{lot}	2	0	0	Fixed	ravenous devourer hungry demon	Sacrifice a Character :: Ravenous Devourer gains +2 Fighting until the end of the turn.	
Realpolitik (CIK)	combatinkowloon	realpolitik_cik_400	Event	Ascended	Event	1	{asc}		0	0	0	Fixed	realpolitik	Target an Edge or State :: Smoke target.	
Reggie Mortis	combatinkowloon	reggie_mortis_cik_400	Character	Eaters of the Lotus	Punk Necromancer	3	{lot}{lot}{lot}{lot}	{lot}{mag}	3	0	0	Fixed	reggie mortis punk necromancer	Unique. Independent. Turn and maintain and target a Character in any smoked pile :: Return target to play under your control with no rules text and the designator Undead. (When this effect is cancelled, put target in its owner's smoked pile.)	
Reluctant Hero	combatinkowloon	reluctant_hero_cik_400	Character	Dragons	Netherworld Outcast	3	{dra}	{dra}	4	0	0	Fixed	reluctant hero netherworld outcast	Independent. Once per turn, you may unturn this card when an attack you declared fails.	
Robbing the Kong (CIK)	combatinkowloon	robbing_the_kong_cik_400	Event	Chi	Event	2	{chi}{chi}		0	0	0	Fixed	robbing kong	Play when you join an attack. Target an attacker you control :: If the target reduces a Feng Shui Site's Body to 0 by inflicting combat damage this attack, you may seize that Site.	
Scrounging (CIK)	combatinkowloon	scrounging_cik_400	Event	High Tech	Event	0	{tek}		0	0	0	Fixed	scrounging	Play at the start of your turn, target an opponent, and choose State, Edge, Character, Feng Shui Site, or non-Feng Shui Site :: Generate X Power. X = the number of cards of the chosen type that the target controls, minus the number of cards in your burned-for-victory pile. No other card you control or play generates Power during this Establishing Shot.	
SEAL Team	combatinkowloon	seal_team_cik_400	Character	Ascended	Transformed Sailors	3	{asc}	{asc}{chi}	4	0	0	Fixed	seal team transformed sailor	Stealth. Mobility while at the same location as a Beach, River, Lake, or Island Site.	
Seamus	combatinkowloon	seamus_cik_400	Character	Dragons	Junkyard Boss	3	{dra}{dra}	{dra}{tek}	4	0	0	Fixed	seamus junkyard boss	Unique. Independent. +X Fighting. X = the total cost of all States this card is the subject of.	
Secrets of Shaolin (CIK)	combatinkowloon	secrets_of_shaolin_cik_400	Event	Guiding Hand	Event	0	{han}		0	0	0	Fixed	secret shaolin	Play during any Main Shot in response to a 0-cost Event :: Cancel that Event.	
Serena Chase	combatinkowloon	serena_chase_cik_400	Character	Ascended	Transformed Stone Fox	3	{asc}{asc}	{asc}	4	0	0	Fixed	serena chase transformed stone fox	Unique. Stealth. If Serena Chase is attacking a card controlled by a player who controls 3 or more Sites, gain 1 Power when she inflicts combat damage on her target.	
Sewer Scum	combatinkowloon	sewer_scum_cik_400	Character	Eaters of the Lotus	Festering Demons	3	{lot}{lot}{mag}	{lot}	6	0	0	Fixed	sewer scum festering demon	When Sewer Scum is healed, it gains -1 Fighting until it leaves play.	
Shaking the Mountain (CIK)	combatinkowloon	shaking_the_mountain_cik_400	Event	Chi	Event	1	{chi}{chi}		0	0	0	Fixed	shaking mountain	Target a location :: Turn all Characters and Sites at target location.	
Shaolin Student	combatinkowloon	shaolin_student_cik_400	Character	Guiding Hand	Fledgling Monk	1		{han}	1	0	0	Fixed	shaolin student fledgling monk	When an opponent burns a Feng Shui Site you control, sacrifice Shaolin Student  :: Play a Martial Artist or Kung Fu Character at -3 cost.	
Shaolin Supplicants	combatinkowloon	shaolin_supplicants_cik_400	Character	Guiding Hand	Kung Fu Pilgrims	1		{han}{chi}	1	0	0	Fixed	shaolin supplicant kung fu pilgrim		
Shield of Pure Soul (CIK)	combatinkowloon	shield_of_pure_soul_cik_400	Edge	Guiding Hand	Edge	0	{han}{chi}		0	0	0	Fixed	shield pure soul	Limited. When a Site you control is seized or burned, you gain 1 Power and may search your deck and choose a card. Reshuffle your deck and place the chosen card on top of your deck.	
Sifu Beumer	combatinkowloon	sifu_beumer_cik_400	Character	Guiding Hand	Master Martial Artist	5	{han}{han}{han}	{han}{chi}	8	0	0	Fixed	sifu meumer master martial artist	Unique. Toughness: 2. Student and Kung Fu Characters you control gain +1 Fighting.	
Smiling Heaven Lake	combatinkowloon	smiling_heaven_lake_cik_400	Site	Feng Shui Site	Feng Shui Site	0			0	1	8	Fixed	smiling heaven lake	Turn and choose a resource you have in your pool :: Play a Character ignoring one of the chosen resource conditions.	
