Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Gao Liang	knightspassage	gao_liang_kp	Character	Eaters of the Lotus, Ascended	Hood Bruiser	5	{lot}{lot}{lot}	{lot}{asc}	7			Fixed	gao liang hood bruiser	Unique. Assassinate. You may substitute {asc} for each resource condition of this card. When this card is smoked, inflict X non-combat damage on each Character and Site in play. X = the amount of damage, respectively, already on each card.	
Grandfather Leung	knightspassage	grandfather_leung_kp	Character	Guiding Hand	Orange Mystic	3	{han}{han}	{han}	4			Fixed	grandfather leung orange mystic	Unique. When this card enters play, draw up to X cards. X = the number of {han} resources in your resource pool.	
Hong Rui "Edie" Tso	knightspassage	hong_rui_tso_kp	Character	Dragons	Police Detective	5	{dra}{dra}{dra}	{dra}	8			Fixed	hong rui edie tso police detective	Unique. Guts. Mobility. Once per turn when this card is about to enter combat with a Character, you may cancel that Character until the end of the combat.	
Iron Fists	knightspassage	iron_fists_kp	State	Dragons, Guiding Hand	State	0	{dra}{han}					Fixed	iron fist	Unique. Schtick. Play on a Character. Subject gains +1 Fighting and Toughness: 1. Turn and pay 1 Power :: Subject gains +2 Fighting until the end of the turn.	
Iron Fists McQueen	knightspassage	iron_fists_mcqueen_kp	Character	Dragons	Reluctant Warrior	3	{dra}{dra}	{dra}	4			Fixed	iron fist mc queen reluctant warrior	Unique. Unstoppable. When this card enters combat, you may choose to have it cease attacking :: Inflict X non-combat damage on all opponent's Characters at this location. X = half of this card's Fighting, rounded down.	
Jennifer	knightspassage	jennifer_kp	Character	Jammers	Enigmatic Fanatic	5	{jam}{jam}{tek}{tek}	{jam}{tek}	5			Fixed	jennifer enigmatic fanatic	Unstoppable. +3 Fighting while you control only Sites you own. When this card reduces a Site's Body to 0, gain 1 Power and this card gains +1 Fighting until it leaves play.	
Knightcaps	knightspassage	knightcaps_kp	Character	Jammers	Fanatic Techie Punks	1		{jam}{tek}	1			Fixed	knightcaps fanatic techie punk	Cannot be declared as the only attacker. +1 combat damage to Sites.	
Lessons of the Fallen	knightspassage	lessons_of_the_fallen_kp	Edge	Four Monarchs	Edge	0	{mon}					Fixed	lesson fallen	When a Character you control is smoked, draw a card.	
Petal of Despair	knightspassage	petal_of_despair_kp	Character	Eaters of the Lotus	Wrathful Ghost	2	{lot}{mag}	{lot}	2			Fixed	petal despair wrathful ghost	Corrupted. While playing this card, you may spend 1 additional Power to give it +2 Fighting until it leaves play, or 2 additional Power for +4 Fighting.	
Pi Tui	knightspassage	pi_tui_kp	Character	Four Monarchs	Matron of Silver and Ice	6	{mon}{mon}{mon}	{mon}{mag}{mag}	11			Fixed	pi tui matron silver ice	Unique. <Ice> cards you own gain Immunity to opponents' States. Opponents cannot cancel your effects or change their targets. When an opponent's card is healed by an effect generated by an opponent, gain 1 Power (this includes turning to heal).	
Police Negotiator	knightspassage	police_negotiator_kp	Character	Guiding Hand	Orange Peacekeeper	1	{han}	{han}	1			Fixed	police negotiator orange peacekeeper	When a player plays a card that provides a faction resource that is not already in his or her resource pool, turn this card :: Gain 1 Power, or 2 Power if that player now has 3 or more different faction resources in his or her resource pool.	
Quartermaster	knightspassage	quartermaster_kp	Character	Dragons	Techie Armorer	2	{dra}	{dra}{tek}	2			Fixed	quartermaster techie armorer	Once per turn, when you play a State on a <Cop>, <Agent> or <Techie> Character, you may draw a card. While all opponents are closer to victory than you, Characters you control gain +1 Fighting.	
Rice Paddies	knightspassage	rice_paddies_kp	Site	Guiding Hand	Site	0	{han}{han}	{han}		0	6	Fixed	rice paddy	While you control 3 or more Power-generating Sites, this card generates 1 Power during your Establishing Shot.	
Rosalee Leung	knightspassage	rosalee_leung_kp	Character	Guiding Hand	Orange Kung Fu Warrior	4	{han}{han}	{han}	6			Fixed	rosalee leung orange kung fu warrior	Unique. +1 Fighting for each State you control. When you play a State, draw a card.	
Scrounger	knightspassage	scrounger_kp	Character	Jammers	Junkyard Hero	1	{jam}{jam}	{jam}{tek}	1			Fixed	scrounger junkyard hero	When this card enters play, randomly choose from your smoked pile one State that can legally be played on it. Play it on this card at no cost. Reload: {tek}{tek}1.	
Secluded Redoubt	knightspassage	secluded_redoubt_kp	Site	Feng Shui Site	Feng Shui Site					1	9	Fixed	secluded redoubt	Damage inflicted on this card by cards you own is reduced to 0. Damage cannot be redirected to this card.	
Secret Passageway	knightspassage	secret_passageway_kp	State	Jammers	State	1	{jam}{jam}					Fixed	secret passageway	Limited. Play on a Site. Characters you control inflict +2 combat damage on subject. Sacrifice this card and target a Character attacking subject :: Target gains Stealth until the end of the turn.	
Shapo	knightspassage	shapo_kp	Character	Eaters of the Lotus	Ovine Demon	5	{lot}{lot}{mag}{mag}	{lot}	8			Fixed	shapo ovine demon	Unique. Regenerate. At the start of each player's turn, inflict 2 non-combat damage on each damaged Character controlled by that player.	
Shared Interests	knightspassage	shared_interests_kp	Edge	Unaligned	Edge	1						Fixed	shared interest	Limited. You must have at least 2 different faction resources in your resource pool to play this card. When this card enters play, choose a designator. Turn :: Play a card with the chosen designator at -1 cost or ignoring one resource condition.	
Song of Silver and Ice	knightspassage	song_of_silver_and_ice_kp	Event	Four Monarchs	Spell Event	0	{mon}{mon}{mag}					Fixed	song silver ice spell	Play during your Main Shot. Characters you control gain +1 Fighting until the end of the turn. If you have {dra} in your resource pool, Characters you control also gain Toughness: 1 until the end of the turn.	
Sparabara	knightspassage	sparabara_kp	Character	Four Monarchs	Fire Warriors	2	{mon}	{mon}	2			Fixed	sparabara fire warrior	When this Character is smoked by an opponent, you may toast it. If you do, put a "Warrior" Character token into play. It has a printed Fighting of 2, Ambush, and a printed cost of {mon}2.	
Spirit of the Underdog	knightspassage	spirit_of_the_underdog_kp	State	Dragons	State	0	{dra}{dra}					Fixed	spirit underdog	Play on a Character during any Main Shot. While in combat with one or more Characters, subject inflicts +X combat damage. X = the number of resources required and provided by the Characters with which subject is in combat.	
Techie Apprentices	knightspassage	techie_apprentices_kp	Character	Dragons	Armory Students	1		{dra}{tek}	1			Fixed	techie apprentice armory student	Cannot turn to attack. When this card is smoked by an opponent, you may play a card that requires {tek} at -1 cost, regardless of type.	
The Dragon's Teeth	knightspassage	the_dragons_teeth_kp	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	dragon tooth	Unique. Turn and target a Character :: Until the end of the turn, target gains Unstoppable, and when target inflicts combat damage, draw a card.	
The Hidden Grotto	knightspassage	the_hidden_grotto_kp	Site	Feng Shui Site	Feng Shui Site					1	4	Fixed	hidden grotto	Unique. When this card is revealed, you may play a Character at -X cost. X = the number of Feng Shui Sites you control, including this one.	
The Ice Prince's Gambit	knightspassage	the_ice_princes_gambit_kp	Event	Dragons, Four Monarchs	Event	0	{dra}{mon}	{dra}{mon}				Fixed	ice prince gambit	Limited. Play when an attack you declared ends and the defending player is closer to victory than you. Target a Character you control that participated in that attack :: Heal and unturn target.	
The Warrior's Calm	knightspassage	the_warriors_calm_kp	Event	Four Monarchs	Event	0	{mon}{mon}					Fixed	warrior calm	Turn any number of Characters you control :: Gain X Power. X = half the number of Characters turned, rounded down.	
Thunder on Thunder	knightspassage	thunder_on_thunder_kp	Event	Dragons	Event	1	{dra}{dra}					Fixed	thunder	Toast all Edges.	
Tomb of the Sacred Vigil	knightspassage	tomb_of_the_sacred_vigil_kp	Site	Four Monarchs	Netherworld Feng Shui Site	3	{mon}{mon}{mon}	{mon}		1	7	Fixed	tomb sacred vigil netherworld	Unique. Character tokens you control gain Loyalty and +1 combat damage. When an opponent succesfully attacks a Feng Shui Site you control, put a "Warrior" Character token into play. It has a printed fighting of 2, Ambush, and a printed cost of {mon}2.	
Underground Depot	knightspassage	underground_depot_kp	Site	Feng Shui Site	Feng Shui Site					1	7	Fixed	underground depot	All Characters at this location gain Mobility. Turn during your main shot :: Play a Vehicle or Weapon State on a card at this location at -1 cost.	
Urban Monk	knightspassage	urban_monk_kp	Character	Guiding Hand	Red Gardener	3	{han}	{han}	4			Fixed	urban monk red gardener	If you have played a Site this turn when this card enters play, this card gains Superleap and Mobility until it leaves play. If you control 3 or more Power-generating Sites, this card generates 1 Power during your Establishing Shot.	
Wayfarer	knightspassage	wayfarer_kp	Character	Four Monarchs	Ice Nomad	3	{mon}	{mon}{mag}	4			Fixed	wayfarer ice nomad	Mobility. Target a Character you control when this card is declared as an interceptor :: Heal target.	
"We Can Rebuild Him"	knightspassage	we_can_rebuild_him_kp	Event	High Tech	Event	2	{tek}{tek}{tek}					Fixed	we can rebuild him	Play during your Main Shot. Choose a Character in any smoked pile :: Return that Character to play under your control, and it gains the designator <Cyborg>.	
